"division","year","active_population","of_which_non_wage_earners","of_which_wage_earners","total_employed_population","unemployed","unemployment_rate_in_percent"
"Beaufort","2001",688,85,568,653,35,5.09
"Beaufort","2002",742,85,631,716,26,3.5
"Beaufort","2003",773,85,648,733,40,5.17
"Beaufort","2004",828,80,706,786,42,5.07
"Beaufort","2005",866,96,719,815,51,5.89
"Beaufort","2006",893,87,746,833,60,6.72
"Beaufort","2007",907,90,778,868,39,4.3
"Beaufort","2008",974,85,820,905,69,7.08
"Beaufort","2009",998,84,829,913,85,8.52
"Beaufort","2010",1.069,86,898,984,85,7.95
"Beaufort","2011",1.098,83,920,1.003,95,8.65
"Beaufort","2012",1.126,83,932,1.015,111,9.86
"Beaufort","2013",1.145,84,932,1.016,129,11.27
"Beaufort","2014",1.172,80,953,1.033,139,11.86
"Beaufort","2015",1.241,80,1.03,1.11,131,10.56
"Bech","2001",400,66,327,393,7,1.75
"Bech","2002",405,65,335,400,5,1.23
"Bech","2003",389,61,324,385,4,1.03
"Bech","2004",389,56,326,382,7,1.8
"Bech","2005",403,56,339,395,8,1.99
"Bech","2006",403,61,330,391,12,2.98
"Bech","2007",414,60,349,409,5,1.21
"Bech","2008",436,66,359,425,11,2.52
"Bech","2009",465,64,384,448,17,3.66
"Bech","2010",492,62,405,467,25,5.08
"Bech","2011",518,59,441,500,18,3.47
"Bech","2012",516,57,446,503,13,2.52
"Bech","2013",542,63,463,526,16,2.95
"Bech","2014",558,67,476,543,15,2.69
"Bech","2015",534,70,450,520,14,2.62
"Beckerich","2001",819,99,709,808,11,1.34
"Beckerich","2002",803,94,697,791,12,1.49
"Beckerich","2003",815,103,694,797,18,2.21
"Beckerich","2004",843,100,721,821,22,2.61
"Beckerich","2005",832,94,704,798,34,4.09
"Beckerich","2006",872,97,734,831,41,4.7
"Beckerich","2007",888,102,760,862,26,2.93
"Beckerich","2008",934,103,794,897,37,3.96
"Beckerich","2009",960,99,828,927,33,3.44
"Beckerich","2010",981,91,854,945,36,3.67
"Beckerich","2011",1.048,89,904,993,55,5.25
"Beckerich","2012",1.06,81,929,1.01,50,4.72
"Beckerich","2013",1.077,85,936,1.021,56,5.2
"Beckerich","2014",1.054,80,921,1.001,53,5.03
"Beckerich","2015",1.084,100,930,1.03,54,4.98
"Berdorf","2001",450,57,369,426,24,5.33
"Berdorf","2002",466,56,385,441,25,5.36
"Berdorf","2003",502,60,418,478,24,4.78
"Berdorf","2004",554,62,442,504,50,9.03
"Berdorf","2005",523,63,406,469,54,10.33
"Berdorf","2006",600,72,481,553,47,7.83
"Berdorf","2007",599,72,490,562,37,6.18
"Berdorf","2008",643,71,524,595,48,7.47
"Berdorf","2009",650,70,524,594,56,8.62
"Berdorf","2010",655,71,529,600,55,8.4
"Berdorf","2011",687,66,570,636,51,7.42
"Berdorf","2012",729,68,601,669,60,8.23
"Berdorf","2013",766,70,620,690,76,9.92
"Berdorf","2014",759,75,620,695,64,8.43
"Berdorf","2015",767,80,610,690,77,10.04
"Bertrange","2001",2.484,260,2.181,2.441,43,1.73
"Bertrange","2002",2.459,260,2.141,2.401,58,2.36
"Bertrange","2003",2.495,264,2.151,2.415,80,3.21
"Bertrange","2004",2.518,275,2.151,2.426,92,3.65
"Bertrange","2005",2.522,283,2.144,2.427,95,3.77
"Bertrange","2006",2.456,262,2.11,2.372,84,3.42
"Bertrange","2007",2.513,277,2.139,2.416,97,3.86
"Bertrange","2008",2.581,289,2.185,2.474,107,4.15
"Bertrange","2009",2.59,289,2.166,2.455,135,5.21
"Bertrange","2010",2.626,297,2.181,2.478,148,5.64
"Bertrange","2011",2.737,305,2.284,2.589,148,5.41
"Bertrange","2012",2.763,301,2.309,2.61,153,5.54
"Bertrange","2013",2.813,301,2.352,2.653,160,5.69
"Bertrange","2014",2.901,321,2.416,2.737,164,5.65
"Bertrange","2015",3.138,350,2.62,2.97,168,5.35
"Bettembourg","2001",3.823,240,3.494,3.734,89,2.33
"Bettembourg","2002",3.832,254,3.464,3.718,114,2.97
"Bettembourg","2003",3.829,244,3.442,3.686,143,3.73
"Bettembourg","2004",3.917,249,3.497,3.746,171,4.37
"Bettembourg","2005",3.915,260,3.486,3.746,169,4.32
"Bettembourg","2006",4.029,253,3.599,3.852,177,4.39
"Bettembourg","2007",4.095,251,3.668,3.919,176,4.3
"Bettembourg","2008",4.196,240,3.752,3.992,204,4.86
"Bettembourg","2009",4.268,246,3.741,3.987,281,6.58
"Bettembourg","2010",4.276,241,3.77,4.011,265,6.2
"Bettembourg","2011",4.278,239,3.782,4.021,257,6.01
"Bettembourg","2012",4.393,265,3.819,4.084,309,7.03
"Bettembourg","2013",4.376,271,3.81,4.081,295,6.74
"Bettembourg","2014",4.535,290,3.913,4.203,332,7.32
"Bettembourg","2015",4.588,310,3.97,4.28,308,6.71
"Bettendorf","2001",777,73,681,754,23,2.96
"Bettendorf","2002",775,73,673,746,29,3.74
"Bettendorf","2003",774,75,660,735,39,5.04
"Bettendorf","2004",815,77,703,780,35,4.29
"Bettendorf","2005",836,72,712,784,52,6.22
"Bettendorf","2006",1.086,87,947,1.034,52,4.79
"Bettendorf","2007",1.119,85,987,1.072,47,4.2
"Bettendorf","2008",1.139,92,980,1.072,67,5.88
"Bettendorf","2009",1.147,92,983,1.075,72,6.28
"Bettendorf","2010",1.143,94,995,1.089,54,4.72
"Bettendorf","2011",1.155,86,990,1.076,79,6.84
"Bettendorf","2012",1.217,92,1.044,1.136,81,6.66
"Bettendorf","2013",1.22,89,1.036,1.125,95,7.79
"Bettendorf","2014",1.216,90,1.026,1.116,100,8.22
"Bettendorf","2015",1.22,90,1.04,1.13,90,7.38
"Betzdorf","2001",968,91,866,957,11,1.14
"Betzdorf","2002",1.014,94,903,997,17,1.68
"Betzdorf","2003",1.018,95,900,995,23,2.26
"Betzdorf","2004",1.023,98,894,992,31,3.03
"Betzdorf","2005",1.047,98,920,1.018,29,2.77
"Betzdorf","2006",1.141,101,1.009,1.11,31,2.72
"Betzdorf","2007",1.212,113,1.062,1.175,37,3.05
"Betzdorf","2008",1.317,123,1.159,1.282,35,2.66
"Betzdorf","2009",1.386,127,1.204,1.331,55,3.97
"Betzdorf","2010",1.409,122,1.235,1.357,52,3.69
"Betzdorf","2011",1.43,121,1.268,1.389,41,2.87
"Betzdorf","2012",1.499,127,1.335,1.462,37,2.47
"Betzdorf","2013",1.527,134,1.342,1.476,51,3.34
"Betzdorf","2014",1.548,136,1.359,1.495,53,3.42
"Betzdorf","2015",1.542,140,1.35,1.49,52,3.37
"Bissen","2001",1.112,81,1.006,1.087,25,2.25
"Bissen","2002",1.077,80,969,1.049,28,2.6
"Bissen","2003",1.078,74,966,1.04,38,3.53
"Bissen","2004",1.069,77,950,1.027,42,3.93
"Bissen","2005",1.085,83,956,1.039,46,4.24
"Bissen","2006",1.19,80,1.069,1.149,41,3.45
"Bissen","2007",1.204,75,1.089,1.164,40,3.32
"Bissen","2008",1.251,75,1.12,1.195,56,4.48
"Bissen","2009",1.298,78,1.146,1.224,74,5.7
"Bissen","2010",1.289,84,1.137,1.221,68,5.28
"Bissen","2011",1.339,87,1.184,1.271,68,5.08
"Bissen","2012",1.348,82,1.179,1.261,87,6.45
"Bissen","2013",1.362,81,1.193,1.274,88,6.46
"Bissen","2014",1.379,80,1.217,1.297,82,5.95
"Bissen","2015",1.391,80,1.23,1.31,81,5.82
"Biwer","2001",619,72,540,612,7,1.13
"Biwer","2002",608,73,526,599,9,1.48
"Biwer","2003",644,70,559,629,15,2.33
"Biwer","2004",667,77,575,652,15,2.25
"Biwer","2005",699,77,603,680,19,2.72
"Biwer","2006",710,82,605,687,23,3.24
"Biwer","2007",740,80,638,718,22,2.97
"Biwer","2008",741,74,633,707,34,4.59
"Biwer","2009",738,71,634,705,33,4.47
"Biwer","2010",746,77,643,720,26,3.49
"Biwer","2011",755,81,636,717,38,5.03
"Biwer","2012",770,77,666,743,27,3.51
"Biwer","2013",763,84,646,730,33,4.33
"Biwer","2014",769,85,655,740,29,3.77
"Biwer","2015",770,90,650,740,30,3.9
"Boevange-sur-Attert","2001",746,77,653,730,16,2.14
"Boevange-sur-Attert","2002",740,80,640,720,20,2.7
"Boevange-sur-Attert","2003",766,79,669,748,18,2.35
"Boevange-sur-Attert","2004",771,78,669,747,24,3.11
"Boevange-sur-Attert","2005",815,88,699,787,28,3.44
"Boevange-sur-Attert","2006",856,88,745,833,23,2.69
"Boevange-sur-Attert","2007",898,92,779,871,27,3.01
"Boevange-sur-Attert","2008",907,91,792,883,24,2.65
"Boevange-sur-Attert","2009",930,90,805,895,35,3.76
"Boevange-sur-Attert","2010",928,86,813,899,29,3.13
"Boevange-sur-Attert","2011",990,95,863,958,32,3.23
"Boevange-sur-Attert","2012",1.03,96,892,988,42,4.08
"Boevange-sur-Attert","2013",1.042,95,904,999,43,4.13
"Boevange-sur-Attert","2014",1.048,103,901,1.004,44,4.2
"Boevange-sur-Attert","2015",1.039,100,900,1,39,3.75
"Boulaide","2001",312,62,242,304,8,2.56
"Boulaide","2002",335,59,266,325,10,2.99
"Boulaide","2003",335,62,262,324,11,3.28
"Boulaide","2004",339,63,265,328,11,3.24
"Boulaide","2005",361,60,281,341,20,5.54
"Boulaide","2006",371,58,289,347,24,6.47
"Boulaide","2007",383,57,311,368,15,3.92
"Boulaide","2008",391,54,316,370,21,5.37
"Boulaide","2009",399,50,323,373,26,6.52
"Boulaide","2010",417,50,335,385,32,7.67
"Boulaide","2011",415,51,336,387,28,6.75
"Boulaide","2012",448,59,366,425,23,5.13
"Boulaide","2013",469,56,389,445,24,5.12
"Boulaide","2014",493,59,397,456,37,7.51
"Boulaide","2015",506,60,420,480,26,5.14
"Bourscheid","2001",490,89,389,478,12,2.45
"Bourscheid","2002",511,85,410,495,16,3.13
"Bourscheid","2003",492,86,392,478,14,2.85
"Bourscheid","2004",499,85,397,482,17,3.41
"Bourscheid","2005",506,85,405,490,16,3.16
"Bourscheid","2006",586,87,478,565,21,3.58
"Bourscheid","2007",586,88,473,561,25,4.27
"Bourscheid","2008",611,86,503,589,22,3.6
"Bourscheid","2009",617,86,508,594,23,3.73
"Bourscheid","2010",639,84,524,608,31,4.85
"Bourscheid","2011",686,82,565,647,39,5.69
"Bourscheid","2012",705,77,584,661,44,6.24
"Bourscheid","2013",730,77,599,676,54,7.4
"Bourscheid","2014",771,83,616,699,72,9.34
"Bourscheid","2015",781,80,630,710,71,9.09
"Bous","2001",458,69,384,453,5,1.09
"Bous","2002",476,69,395,464,12,2.52
"Bous","2003",478,68,398,466,12,2.51
"Bous","2004",495,69,418,487,8,1.62
"Bous","2005",529,65,447,512,17,3.21
"Bous","2006",585,75,492,567,18,3.08
"Bous","2007",626,78,532,610,16,2.56
"Bous","2008",653,73,560,633,20,3.06
"Bous","2009",655,67,571,638,17,2.6
"Bous","2010",675,71,579,650,25,3.7
"Bous","2011",716,74,624,698,18,2.51
"Bous","2012",714,70,628,698,16,2.24
"Bous","2013",749,74,646,720,29,3.87
"Bous","2014",782,78,680,758,24,3.07
"Bous","2015",772,70,680,750,22,2.85
"Canton Capellen","2001",14.853,1.546,13.021,14.567,286,1.93
"Canton Capellen","2002",15.193,1.564,13.251,14.815,378,2.49
"Canton Capellen","2003",15.41,1.609,13.341,14.95,460,2.99
"Canton Capellen","2004",15.638,1.617,13.473,15.09,548,3.5
"Canton Capellen","2005",15.957,1.618,13.759,15.377,580,3.63
"Canton Capellen","2006",16.187,1.601,13.988,15.589,598,3.69
"Canton Capellen","2007",16.412,1.624,14.251,15.875,537,3.27
"Canton Capellen","2008",16.837,1.64,14.566,16.206,631,3.75
"Canton Capellen","2009",17.334,1.669,14.815,16.484,850,4.9
"Canton Capellen","2010",17.705,1.696,15.191,16.887,818,4.62
"Canton Capellen","2011",18.133,1.739,15.507,17.246,887,4.89
"Canton Capellen","2012",18.467,1.76,15.845,17.605,862,4.67
"Canton Capellen","2013",18.873,1.809,15.993,17.802,1.071,5.67
"Canton Capellen","2014",19.232,1.8,16.366,18.166,1.066,5.54
"Canton Capellen","2015",19.298,1.88,16.43,18.31,988,5.12
"Canton Clervaux","2001",5.347,1.037,4.144,5.181,166,3.1
"Canton Clervaux","2002",5.528,1.029,4.311,5.34,188,3.4
"Canton Clervaux","2003",5.721,1.029,4.437,5.466,255,4.46
"Canton Clervaux","2004",5.92,1.06,4.623,5.683,237,4
"Canton Clervaux","2005",6.184,1.04,4.823,5.863,321,5.19
"Canton Clervaux","2006",6.321,1.035,4.958,5.993,328,5.19
"Canton Clervaux","2007",6.516,1.055,5.12,6.175,341,5.23
"Canton Clervaux","2008",6.755,1.057,5.351,6.408,347,5.14
"Canton Clervaux","2009",7.038,1.052,5.556,6.608,430,6.11
"Canton Clervaux","2010",7.28,1.048,5.761,6.809,471,6.47
"Canton Clervaux","2011",7.476,1.029,5.982,7.011,465,6.22
"Canton Clervaux","2012",7.694,1.019,6.162,7.181,513,6.67
"Canton Clervaux","2013",7.936,1.018,6.346,7.364,572,7.21
"Canton Clervaux","2014",8.041,997,6.482,7.479,562,6.99
"Canton Clervaux","2015",8.224,990,6.63,7.62,604,7.34
"Canton Diekirch","2001",11.241,1.027,9.892,10.919,322,2.86
"Canton Diekirch","2002",11.434,1.044,10.033,11.077,357,3.12
"Canton Diekirch","2003",11.544,1.051,10.085,11.136,408,3.53
"Canton Diekirch","2004",11.681,1.075,10.233,11.308,373,3.19
"Canton Diekirch","2005",11.891,1.047,10.224,11.271,620,5.21
"Canton Diekirch","2006",11.998,1.025,10.377,11.402,596,4.97
"Canton Diekirch","2007",12.218,1.023,10.583,11.606,612,5.01
"Canton Diekirch","2008",12.527,1.017,10.833,11.85,677,5.4
"Canton Diekirch","2009",12.691,1.008,10.85,11.858,833,6.56
"Canton Diekirch","2010",12.96,1.047,11.062,12.109,851,6.57
"Canton Diekirch","2011",13.375,1.028,11.378,12.406,969,7.24
"Canton Diekirch","2012",13.612,1.032,11.548,12.58,1.032,7.58
"Canton Diekirch","2013",14.056,1.05,11.838,12.888,1.168,8.31
"Canton Diekirch","2014",14.422,1.079,12.148,13.227,1.195,8.29
"Canton Diekirch","2015",14.617,1.08,12.29,13.37,1.247,8.53
"Canton Echternach","2001",5.92,783,4.906,5.689,231,3.9
"Canton Echternach","2002",6.054,782,5.018,5.8,254,4.2
"Canton Echternach","2003",6.136,783,5.087,5.87,266,4.34
"Canton Echternach","2004",6.42,775,5.344,6.119,301,4.69
"Canton Echternach","2005",6.471,788,5.29,6.078,393,6.07
"Canton Echternach","2006",6.714,776,5.523,6.299,415,6.18
"Canton Echternach","2007",6.805,779,5.726,6.505,300,4.41
"Canton Echternach","2008",7.073,776,5.851,6.627,446,6.31
"Canton Echternach","2009",7.204,749,5.907,6.656,548,7.61
"Canton Echternach","2010",7.43,770,6.101,6.871,559,7.52
"Canton Echternach","2011",7.655,752,6.348,7.1,555,7.25
"Canton Echternach","2012",7.819,743,6.513,7.256,563,7.2
"Canton Echternach","2013",7.967,760,6.543,7.303,664,8.33
"Canton Echternach","2014",8.033,770,6.634,7.404,629,7.83
"Canton Echternach","2015",8.123,780,6.73,7.51,613,7.55
"Canton Esch","2001",56.18,3.586,50.66,54.246,1.934,3.44
"Canton Esch","2002",57.368,3.627,51.387,55.014,2.354,4.1
"Canton Esch","2003",58.285,3.607,51.793,55.4,2.885,4.95
"Canton Esch","2004",59.94,3.655,52.953,56.608,3.332,5.56
"Canton Esch","2005",59.955,3.632,52.804,56.436,3.519,5.87
"Canton Esch","2006",60.971,3.582,53.647,57.229,3.742,6.14
"Canton Esch","2007",62.536,3.566,55.298,58.864,3.672,5.87
"Canton Esch","2008",64.308,3.588,56.381,59.969,4.339,6.75
"Canton Esch","2009",66.104,3.659,56.823,60.482,5.622,8.5
"Canton Esch","2010",67.506,3.679,57.774,61.453,6.053,8.97
"Canton Esch","2011",69.12,3.726,59.223,62.949,6.171,8.93
"Canton Esch","2012",70.943,3.82,60.7,64.52,6.423,9.05
"Canton Esch","2013",73.063,3.941,61.782,65.723,7.34,10.05
"Canton Esch","2014",74.826,4.024,63.487,67.511,7.315,9.78
"Canton Esch","2015",76.406,4.1,65.23,69.33,7.076,9.26
"Canton Grevenmacher","2001",9.259,1.103,8.008,9.111,148,1.6
"Canton Grevenmacher","2002",9.459,1.097,8.138,9.235,224,2.37
"Canton Grevenmacher","2003",9.677,1.105,8.31,9.415,262,2.71
"Canton Grevenmacher","2004",9.793,1.102,8.394,9.496,297,3.03
"Canton Grevenmacher","2005",10.147,1.11,8.663,9.773,374,3.69
"Canton Grevenmacher","2006",10.373,1.09,8.907,9.997,376,3.62
"Canton Grevenmacher","2007",10.678,1.105,9.208,10.313,365,3.42
"Canton Grevenmacher","2008",10.95,1.098,9.466,10.564,386,3.53
"Canton Grevenmacher","2009",11.224,1.121,9.548,10.669,555,4.94
"Canton Grevenmacher","2010",11.465,1.106,9.784,10.89,575,5.02
"Canton Grevenmacher","2011",11.737,1.128,10.011,11.139,598,5.09
"Canton Grevenmacher","2012",11.974,1.12,10.249,11.369,605,5.05
"Canton Grevenmacher","2013",12.254,1.13,10.494,11.624,630,5.14
"Canton Grevenmacher","2014",12.53,1.113,10.767,11.88,650,5.19
"Canton Grevenmacher","2015",12.681,1.15,10.89,12.04,641,5.05
"Canton Luxembourg","2001",53.268,4.792,46.949,51.741,1.527,2.87
"Canton Luxembourg","2002",53.788,4.85,46.834,51.684,2.104,3.91
"Canton Luxembourg","2003",54.507,4.982,46.807,51.789,2.718,4.99
"Canton Luxembourg","2004",55.073,5.024,46.9,51.924,3.149,5.72
"Canton Luxembourg","2005",55.433,5.146,46.871,52.017,3.416,6.16
"Canton Luxembourg","2006",56.699,5.219,48.735,53.954,2.745,4.84
"Canton Luxembourg","2007",57.945,5.438,50.08,55.518,2.427,4.19
"Canton Luxembourg","2008",60.136,5.639,51.463,57.102,3.034,5.05
"Canton Luxembourg","2009",61.131,5.778,51.365,57.143,3.988,6.52
"Canton Luxembourg","2010",62.143,5.869,52.134,58.003,4.14,6.66
"Canton Luxembourg","2011",64.407,6.052,54.082,60.134,4.273,6.63
"Canton Luxembourg","2012",66.427,6.235,55.584,61.819,4.608,6.94
"Canton Luxembourg","2013",68.368,6.489,56.678,63.167,5.201,7.61
"Canton Luxembourg","2014",69.979,6.706,57.979,64.685,5.294,7.57
"Canton Luxembourg","2015",71.14,6.83,59.31,66.14,5,7.03
"Canton Mersch","2001",10.422,930,9.28,10.21,212,2.03
"Canton Mersch","2002",10.567,926,9.358,10.284,283,2.68
"Canton Mersch","2003",10.679,909,9.435,10.344,335,3.14
"Canton Mersch","2004",10.836,929,9.512,10.441,395,3.65
"Canton Mersch","2005",11.078,932,9.657,10.589,489,4.41
"Canton Mersch","2006",11.324,907,9.942,10.849,475,4.19
"Canton Mersch","2007",11.59,912,10.241,11.153,437,3.77
"Canton Mersch","2008",11.909,918,10.465,11.383,526,4.42
"Canton Mersch","2009",12.264,932,10.695,11.627,637,5.19
"Canton Mersch","2010",12.604,952,11.012,11.964,640,5.08
"Canton Mersch","2011",13.066,971,11.392,12.363,703,5.38
"Canton Mersch","2012",13.374,968,11.66,12.628,746,5.58
"Canton Mersch","2013",13.774,973,11.989,12.962,812,5.9
"Canton Mersch","2014",13.993,1.003,12.153,13.156,837,5.98
"Canton Mersch","2015",14.239,1.04,12.4,13.44,799,5.61
"Canton Redange","2001",5.694,893,4.651,5.544,150,2.63
"Canton Redange","2002",5.7,864,4.716,5.58,120,2.11
"Canton Redange","2003",5.843,873,4.809,5.682,161,2.76
"Canton Redange","2004",5.965,881,4.925,5.806,159,2.67
"Canton Redange","2005",6.154,864,5.104,5.968,186,3.02
"Canton Redange","2006",6.452,878,5.344,6.222,230,3.56
"Canton Redange","2007",6.687,894,5.592,6.486,201,3.01
"Canton Redange","2008",6.9,876,5.762,6.638,262,3.8
"Canton Redange","2009",7.185,879,5.976,6.855,330,4.59
"Canton Redange","2010",7.265,872,6.053,6.925,340,4.68
"Canton Redange","2011",7.573,854,6.319,7.173,400,5.28
"Canton Redange","2012",7.679,851,6.432,7.283,396,5.16
"Canton Redange","2013",7.902,836,6.592,7.428,474,6
"Canton Redange","2014",8.009,832,6.72,7.552,457,5.71
"Canton Redange","2015",8.194,880,6.82,7.7,494,6.03
"Canton Remich","2001",6.848,1.036,5.665,6.701,147,2.15
"Canton Remich","2002",7.068,1.025,5.837,6.862,206,2.91
"Canton Remich","2003",7.189,1.025,5.911,6.936,253,3.52
"Canton Remich","2004",7.43,1.037,6.121,7.158,272,3.66
"Canton Remich","2005",7.596,1.051,6.239,7.29,306,4.03
"Canton Remich","2006",7.971,1.011,6.634,7.645,326,4.09
"Canton Remich","2007",8.163,1.011,6.855,7.866,297,3.64
"Canton Remich","2008",8.49,999,7.151,8.15,340,4
"Canton Remich","2009",8.724,1.021,7.234,8.255,469,5.38
"Canton Remich","2010",8.93,1.011,7.417,8.428,502,5.62
"Canton Remich","2011",9.263,1.037,7.732,8.769,494,5.33
"Canton Remich","2012",9.36,1,7.865,8.865,495,5.29
"Canton Remich","2013",9.551,989,7.974,8.963,588,6.16
"Canton Remich","2014",9.567,970,8.011,8.981,586,6.13
"Canton Remich","2015",9.687,1,8.12,9.12,567,5.85
"Canton Vianden","2001",1.579,249,1.262,1.511,68,4.31
"Canton Vianden","2002",1.633,237,1.313,1.55,83,5.08
"Canton Vianden","2003",1.707,235,1.381,1.616,91,5.33
"Canton Vianden","2004",1.825,241,1.489,1.73,95,5.21
"Canton Vianden","2005",1.856,241,1.492,1.733,123,6.63
"Canton Vianden","2006",1.943,232,1.574,1.806,137,7.05
"Canton Vianden","2007",1.987,225,1.638,1.863,124,6.24
"Canton Vianden","2008",2.008,222,1.664,1.886,122,6.08
"Canton Vianden","2009",2.077,222,1.713,1.935,142,6.84
"Canton Vianden","2010",2.11,222,1.742,1.964,146,6.92
"Canton Vianden","2011",2.177,223,1.796,2.019,158,7.26
"Canton Vianden","2012",2.233,217,1.832,2.049,184,8.24
"Canton Vianden","2013",2.28,220,1.867,2.087,193,8.46
"Canton Vianden","2014",2.338,216,1.947,2.163,175,7.49
"Canton Vianden","2015",2.372,210,1.99,2.2,172,7.25
"Canton Wiltz","2001",4.866,695,3.969,4.664,202,4.15
"Canton Wiltz","2002",4.985,682,4.081,4.763,222,4.45
"Canton Wiltz","2003",5.08,702,4.113,4.815,265,5.22
"Canton Wiltz","2004",5.23,715,4.247,4.962,268,5.12
"Canton Wiltz","2005",5.311,717,4.268,4.985,326,6.14
"Canton Wiltz","2006",5.439,694,4.416,5.11,329,6.05
"Canton Wiltz","2007",5.619,678,4.584,5.262,357,6.35
"Canton Wiltz","2008",5.806,668,4.752,5.42,386,6.65
"Canton Wiltz","2009",5.967,668,4.887,5.555,412,6.9
"Canton Wiltz","2010",6.092,668,4.952,5.62,472,7.75
"Canton Wiltz","2011",6.271,662,5.123,5.785,486,7.75
"Canton Wiltz","2012",6.549,662,5.351,6.013,536,8.18
"Canton Wiltz","2013",6.67,657,5.439,6.096,574,8.61
"Canton Wiltz","2014",6.815,675,5.544,6.219,596,8.75
"Canton Wiltz","2015",6.955,660,5.69,6.35,605,8.7
"Clervaux","2001",1.464,248,1.165,1.413,51,3.48
"Clervaux","2002",1.529,241,1.228,1.469,60,3.92
"Clervaux","2003",1.6,247,1.275,1.522,78,4.88
"Clervaux","2004",1.677,248,1.348,1.596,81,4.83
"Clervaux","2005",1.752,249,1.406,1.655,97,5.54
"Clervaux","2006",1.802,249,1.453,1.702,100,5.55
"Clervaux","2007",1.847,249,1.496,1.745,102,5.52
"Clervaux","2008",1.96,246,1.602,1.848,112,5.71
"Clervaux","2009",2.006,246,1.618,1.864,142,7.08
"Clervaux","2010",2.081,242,1.699,1.941,140,6.73
"Clervaux","2011",2.128,237,1.757,1.994,134,6.3
"Clervaux","2012",2.208,238,1.794,2.032,176,7.97
"Clervaux","2013",2.286,240,1.842,2.082,204,8.92
"Clervaux","2014",2.279,238,1.849,2.087,192,8.42
"Clervaux","2015",2.347,240,1.89,2.13,217,9.25
"Colmar-Berg","2001",858,54,783,837,21,2.45
"Colmar-Berg","2002",884,47,813,860,24,2.71
"Colmar-Berg","2003",901,53,814,867,34,3.77
"Colmar-Berg","2004",894,52,816,868,26,2.91
"Colmar-Berg","2005",890,44,804,848,42,4.72
"Colmar-Berg","2006",900,49,800,849,51,5.67
"Colmar-Berg","2007",863,50,775,825,38,4.4
"Colmar-Berg","2008",885,53,779,832,53,5.99
"Colmar-Berg","2009",933,49,827,876,57,6.11
"Colmar-Berg","2010",928,42,839,881,47,5.06
"Colmar-Berg","2011",987,48,882,930,57,5.78
